ID,COUNTRY_NAME,ISO2,SITE_NAME,LATITUDE,LONGITUDE,VECTOR_SPECIES_COMPLEX,VECTOR_SPECIES,STAGE,YEAR_START,MONTH_START,YEAR_END,MONTH_END,SAMPLING_METHOD,MOSQUITO_NUMBER,BREEDING_HABITAT,ID_METHOD,CITATION,CITATION_URL,DATA_CURATOR,INVASIVE_STATUS
1,MM,MM,Yesitkan village,17.380000,96.037000,An. stephensi,NR,ADULTS STAGE,1998,MAY,2000,MARCH,"man biting indoors, animal baited net trap, house resting inside",NR,NR,morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",native
2,MM,MM,Leinmawchan village,17.350000,96.041000,An. stephensi,NR,ADULTS STAGE,1998,MAY,2000,MARCH,"man biting indoors, man biting outdoors, animal baited net trap, house resting inside",NR,NR,morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",native
3,MM,MM,Seikkyi village,16.901000,94.664000,An. stephensi,NR,ADULTS STAGE,1998,MAY,2000,MARCH,"man biting indoors, man biting outdoors, animal baited net trap, house resting inside",NR,NR,morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",native
4,MM,MM,Chaungthar Town,16.949000,94.453000,An. stephensi,NR,ADULTS STAGE,1998,MAY,2000,MARCH,"man biting indoors, man biting outdoors, animal baited net trap, house resting inside",NR,NR,morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",native
5,MM,MM,Hinthada Town,17.644000,95.472000,An. stephensi,NR,ADULTS STAGE,1998,MAY,2000,MARCH,"man biting indoors, man biting outdoors, animal baited net trap, house resting inside",NR,NR,morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",native
6,MM,MM,Botegone village,22.212000,96.129000,An. stephensi,NR,ADULTS STAGE,1998,MAY,2000,MARCH,"man biting indoors, man biting outdoors, animal baited net trap, house resting inside",NR,NR,morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",native
7,MM,MM,Zeephyupin,22.213000,96.105000,An. stephensi,NR,ADULTS STAGE,1998,MAY,2000,MARCH,"man biting indoors, man biting outdoors, animal baited net trap, house resting inside",NR,NR,morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",native
8,MM,MM,North Mandalay,22.013000,96.103000,An. stephensi,NR,ADULTS STAGE,1998,MAY,2000,MARCH,"man biting indoors, man biting outdoors, animal baited net trap, house resting inside",NR,NR,morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",native
9,MM,MM,Shwesaryan,22.103000,96.159000,An. stephensi,NR,ADULTS STAGE,1998,MAY,2000,MARCH,"man biting indoors, man biting outdoors, animal baited net trap, house resting inside",NR,NR,morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",native
10,MM,MM,Sargalein village,21.898000,96.057000,An. stephensi,NR,ADULTS STAGE,1998,MAY,2000,MARCH,"man biting indoors, man biting outdoors, animal baited net trap, house resting inside",NR,NR,morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",native
